Complexity,Loss,Equation
1,10.083051,"4.9839478"
4,10.075913,"log(x0 + 117.9723)"
5,10.059225,"cos(sin(x0)) - -4.217046"
6,7.373216,"sin(x0 * 48.531242) + 4.990316"
8,7.0044546,"cos((x0 + -2.22245) * 1.7111744) + 5.0007777"
10,3.717231,"(cos((x0 + -9.487756) * -10.854571) * 3.5438938) + 5.0458746"
15,3.3797965,"((cos((x0 + -9.480726) * -10.851122) * 3.5504193) + cos(x0 * -0.5369013)) + 5.033431"
18,2.5801218,"((cos((x0 + -9.487246) * -10.854018) * 3.5677104) + 5.0671697) + cos(cos(x0 * -10.854018) * 3.5677104)"
20,2.3967593,"((3.5677104 * cos((x0 + -9.487246) * -10.854018)) + 5.0568295) + cos(3.5677104 * (cos(x0 * -10.854018) + -0.16012393))"
22,2.3950148,"(3.5677104 * cos((x0 + -9.487246) * -10.854018)) + (5.0568295 + cos(3.5677104 * ((cos(x0 * -10.854018) + 5.0568295) - -0.09123509)))"
24,2.3017259,"(((3.5677104 * cos((x0 + -9.487246) * -10.854018)) + 5.0568295) + cos(((cos(x0 * -10.854018) + 5.0568295) - -0.06501305) * 3.5677104)) + 0.30349502"
